#Theta,Phi,Pol,Theta,Phi,Mag
0,0,0,3.129648576,3.141592654,0.896113919
0,0,0.523598776,3.054513026,3.141592654,0.631783851
0,0,0.785398163,2.87464366,3.141592654,0.37589409
0,0,1.047197551,2.159497223,3.141592654,0.172377566
0,0,1.570796327,0.830571135,3.141592654,0.25398315
0.017453293,0,0,3.13435435,0,0.896723491
0.017453293,0,0.523598776,3.089436379,3.141592654,0.621415019
0.017453293,0,0.785398163,2.937491491,3.141592654,0.35154686
0.017453293,0,1.047197551,2.123058178,3.141592654,0.129325518
0.017453293,0,1.570796327,0.619655611,3.141592654,0.256424899
0.034906585,0,0,3.120400765,0,0.902582666
0.034906585,0,0.523598776,3.115936212,3.141592654,0.619093749
0.034906585,0,0.785398163,2.990937894,3.141592654,0.339020074
0.034906585,0,1.047197551,2.109870606,3.141592654,0.100077575
0.034906585,0,1.570796327,0.479153813,3.141592654,0.262174712
0.052359878,0,0,3.09600207,0,0.83919198
0.052359878,0,0.523598776,3.134851074,0,0.581233208
0.052359878,0,0.785398163,3.047864506,3.141592654,0.325287775
0.052359878,0,1.047197551,2.368209608,3.141592654,0.092810929
0.052359878,0,1.570796327,0.47852558,3.141592654,0.215529377
0.06981317,0,0,3.070799588,0,0.86870592
0.06981317,0,0.523598776,3.097961642,0,0.628468102
0.06981317,0,0.785398163,3.124347346,3.141592654,0.389017846
0.06981317,0,1.047197551,2.875354147,3.141592654,0.155436432
0.06981317,0,1.570796327,0.699572384,3.141592654,0.116698401
0.087266463,0,0,3.047921201,0,0.844522355
0.087266463,0,0.523598776,3.063829262,0,0.635540635
0.087266463,0,0.785398163,3.095561627,0,0.426471736
0.087266463,0,1.047197551,3.094769367,3.141592654,0.218539521
0.087266463,0,1.570796327,1.81901738,3.141592654,0.041440097
0.104719755,0,0,3.032250161,0,0.850036363
0.104719755,0,0.523598776,3.03950804,0,0.667213588
0.104719755,0,0.785398163,3.052625492,0,0.484255214
0.104719755,0,1.047197551,3.082193004,0,0.301441635
0.104719755,0,1.570796327,3.079840894,3.141592654,0.119547862
0.122173048,0,0,3.012708046,0,0.842306197
0.122173048,0,0.523598776,3.016518805,0,0.686039023
0.122173048,0,0.785398163,3.023051981,0,0.529606632
0.122173048,0,1.047197551,3.035625023,0,0.373122965
0.122173048,0,1.570796327,3.067202316,0,0.216639156
0.13962634,0,0,2.993494968,0,0.840692585
0.13962634,0,0.523598776,2.993464805,0,0.702027825
0.13962634,0,0.785398163,2.993961241,0,0.563014323
0.13962634,0,1.047197551,2.99541644,0,0.423819926
0.13962634,0,1.570796327,2.999092254,0,0.28432189
0.157079633,0,0,2.974418963,0,0.836197436
0.157079633,0,0.523598776,2.971816749,0,0.713061937
0.157079633,0,0.785398163,2.968737618,0,0.589433904
0.157079633,0,1.047197551,2.964657959,0,0.465477098
0.157079633,0,1.570796327,2.958335568,0,0.341101624
0.174532925,0,0,2.955604498,0,0.833830234
0.174532925,0,0.523598776,2.950566849,0,0.722614365
0.174532925,0,0.785398163,2.944287014,0,0.610678191
0.174532925,0,1.047197551,2.935745304,0,0.498197884
0.174532925,0,1.570796327,2.922761481,0,0.385114261
0.191986218,0,0,2.936828935,0,0.83044886
0.191986218,0,0.523598776,2.929533305,0,0.728785115
0.191986218,0,0.785398163,2.920378721,0,0.626076345
0.191986218,0,1.047197551,2.908056042,0,0.522514148
0.191986218,0,1.570796327,2.889931141,0,0.418089821
0.20943951,0,0,2.91857275,0,0.826899007
0.20943951,0,0.523598776,2.909314649,0,0.733508717
0.20943951,0,0.785398163,2.897665958,0,0.63863546
0.20943951,0,1.047197551,2.882114736,0,0.542490373
0.20943951,0,1.570796327,2.859771948,0,0.445119667
0.226892803,0,0,2.900752608,0,0.823961209
0.226892803,0,0.523598776,2.889671941,0,0.737529801
0.226892803,0,0.785398163,2.875656804,0,0.649056295
0.226892803,0,1.047197551,2.856920867,0,0.558747415
0.226892803,0,1.570796327,2.830329946,0,0.466758879
0.244346095,0,0,2.883286883,0,0.820966258
0.244346095,0,0.523598776,2.870561958,0,0.740574321
0.244346095,0,0.785398163,2.854224332,0,0.657376999
0.244346095,0,1.047197551,2.832217609,0,0.571628622
0.244346095,0,1.570796327,2.800969505,0,0.4836047
0.261799388,0,0,2.866227956,0,0.817623048
0.261799388,0,0.523598776,2.852048349,0,0.742726679
0.261799388,0,0.785398163,2.833461602,0,0.664076652
0.261799388,0,1.047197551,2.808046105,0,0.582016586
0.261799388,0,1.570796327,2.771683906,0,0.49694306
0,0.261799388,0,3.129648576,3.141592654,0.896113919
0,0.261799388,0.523598776,3.054513026,3.141592654,0.631783851
0,0.261799388,0.785398163,2.87464366,3.141592654,0.37589409
0,0.261799388,1.047197551,2.159497223,3.141592654,0.172377566
0,0.261799388,1.570796327,0.830571135,3.141592654,0.25398315
0.017453293,0.261799388,0,3.133281941,0.651749235,0.896620964
0.017453293,0.261799388,0.523598776,3.087103151,3.008010032,0.623094788
0.017453293,0.261799388,0.785398163,2.934276738,3.079527403,0.354000237
0.017453293,0.261799388,1.047197551,2.131603891,3.101140036,0.131953238
0.017453293,0.261799388,1.570796327,0.62673979,3.111502478,0.256054757
0.034906585,0.261799388,0,3.118173548,0.441952359,0.901827294
0.034906585,0.261799388,0.523598776,3.110494708,2.656265596,0.622891169
0.034906585,0.261799388,0.785398163,2.985595579,2.971654962,0.343936381
0.034906585,0.261799388,1.047197551,2.13130946,3.039210864,0.104397705
0.034906585,0.261799388,1.570796327,0.486077735,3.068021164,0.26310492
0.052359878,0.261799388,0,3.09940381,0.401117705,0.821611084
0.052359878,0.261799388,0.523598776,3.117895837,1.691717524,0.575641615
0.052359878,0.261799388,0.785398163,3.025507092,2.772622515,0.32437315
0.052359878,0.261799388,1.047197551,2.328838786,2.94599406,0.096034737
0.052359878,0.261799388,1.570796327,0.477820335,3.009095889,0.223029445
0.06981317,0.261799388,0,3.070544928,0.296617832,0.867709081
0.06981317,0.261799388,0.523598776,3.094328755,0.643687532,0.635800017
0.06981317,0.261799388,0.785398163,3.08877586,2.096076677,0.395271199
0.06981317,0.261799388,1.047197551,2.8310584,2.758805805,0.158290986
0.06981317,0.261799388,1.570796327,0.665442583,2.916746342,0.131190286
0.087266463,0.261799388,0,3.049200701,0.284429433,0.867349333
0.087266463,0.261799388,0.523598776,3.065563233,0.461600683,0.664449491
0.087266463,0.261799388,0.785398163,3.083012096,1.022295446,0.450552856
0.087266463,0.261799388,1.047197551,3.019160568,2.237075371,0.23454568
0.087266463,0.261799388,1.570796327,1.648788581,2.712017585,0.054185933
0.104719755,0.261799388,0,3.031653935,0.286852825,0.847214785
0.104719755,0.261799388,0.523598776,3.040295456,0.390762985,0.67605558
0.104719755,0.261799388,0.785398163,3.049531258,0.604484795,0.493319037
0.104719755,0.261799388,1.047197551,3.050659315,1.153308066,0.306847769
0.104719755,0.261799388,1.570796327,2.878011314,2.105880225,0.112018783
0.122173048,0.261799388,0,3.011681024,0.282935193,0.843356675
0.122173048,0.261799388,0.523598776,3.016253763,0.353000622,0.69480046
0.122173048,0.261799388,0.785398163,3.019396893,0.470351465,0.535251163
0.122173048,0.261799388,1.047197551,3.01967245,0.697943266,0.371840194
0.122173048,0.261799388,1.570796327,2.986986847,1.205253552,0.198092789
0.13962634,0.261799388,0,2.992945048,0.281284471,0.841156039
0.13962634,0.261799388,0.523598776,2.994634475,0.334260261,0.711438549
0.13962634,0.261799388,0.785398163,2.993519372,0.412901039,0.571180331
0.13962634,0.261799388,1.047197551,2.98884608,0.539859983,0.427072445
0.13962634,0.261799388,1.570796327,2.967147586,0.770015222,0.272536282
0.157079633,0.261799388,0,2.973529647,0.279337893,0.836810134
0.157079633,0.261799388,0.523598776,2.973028905,0.321011147,0.721435088
0.157079633,0.261799388,0.785398163,2.968696682,0.378073437,0.596280127
0.157079633,0.261799388,1.047197551,2.960049167,0.460409625,0.467401182
0.157079633,0.261799388,1.570796327,2.936686982,0.588243295,0.328461352
0.174532925,0.261799388,0,2.95475646,0.278027454,0.834014494
0.174532925,0.261799388,0.523598776,2.952528402,0.312292143,0.730446164
0.174532925,0.261799388,0.785398163,2.94571804,0.35656131,0.617875117
0.174532925,0.261799388,1.047197551,2.934082126,0.415688675,0.501641803
0.174532925,0.261799388,1.570796327,2.908309708,0.498230115,0.375655489
0.191986218,0.261799388,0,2.935917931,0.276675054,0.831311205
0.191986218,0.261799388,0.523598776,2.932033755,0.305354115,0.736523084
0.191986218,0.261799388,0.785398163,2.922813243,0.340810696,0.633521187
0.191986218,0.261799388,1.047197551,2.908171905,0.385595686,0.52686822
0.191986218,0.261799388,1.570796327,2.878639503,0.443467593,0.410541728
0.20943951,0.261799388,0,2.917444183,0.275703081,0.827747142
0.20943951,0.261799388,0.523598776,2.91222262,0.300373586,0.740339628
0.20943951,0.261799388,0.785398163,2.901009224,0.329869492,0.645542179
0.20943951,0.261799388,1.047197551,2.883774405,0.36553317,0.546978423
0.20943951,0.261799388,1.570796327,2.850501181,0.408958853,0.438611877
0.226892803,0.261799388,0,2.899485852,0.274955027,0.824640621
0.226892803,0.261799388,0.523598776,2.893145037,0.29662312,0.743406045
0.226892803,0.261799388,0.785398163,2.880182677,0.321817742,0.655613458
0.226892803,0.261799388,1.047197551,2.860552296,0.351260675,0.563820124
0.226892803,0.261799388,1.570796327,2.823167468,0.385309599,0.461847234
0.244346095,0.261799388,0,2.881909257,0.274294609,0.821845389
0.244346095,0.261799388,0.523598776,2.87462538,0.293628482,0.745654523
0.244346095,0.261799388,0.785398163,2.860047689,0.315584313,0.663753756
0.244346095,0.261799388,1.047197551,2.837989934,0.34053186,0.577480726
0.244346095,0.261799388,1.570796327,2.795703806,0.368071845,0.480359546
0.261799388,0.261799388,0,2.864691385,0.273752969,0.818779629
0.261799388,0.261799388,0.523598776,2.856649894,0.291269739,0.746854873
0.261799388,0.261799388,0.785398163,2.840638388,0.310775071,0.67008773
0.261799388,0.261799388,1.047197551,2.816125664,0.332385877,0.588452889
0.261799388,0.261799388,1.570796327,2.768159674,0.355210264,0.495059269
0,0.523598776,0,3.129648576,3.141592654,0.896113919
0,0.523598776,0.523598776,3.054513026,3.141592654,0.631783851
0,0.523598776,0.785398163,2.87464366,3.141592654,0.37589409
0,0.523598776,1.047197551,2.159497223,3.141592654,0.172377566
0,0.523598776,1.570796327,0.830571135,3.141592654,0.25398315
0.017453293,0.523598776,0,3.130758798,1.117911241,0.896382605
0.017453293,0.523598776,0.523598776,3.081874577,2.905378374,0.625124343
0.017453293,0.523598776,0.785398163,2.926357519,3.027081975,0.357764997
0.017453293,0.523598776,1.047197551,2.141556129,3.065969913,0.137316128
0.017453293,0.523598776,1.570796327,0.647870227,3.084845964,0.255013068
0.034906585,0.523598776,0,3.114102719,0.783396679,0.89972994
0.034906585,0.523598776,0.523598776,3.098555485,2.435900839,0.625439129
0.034906585,0.523598776,0.785398163,2.969605904,2.844710273,0.348663944
0.034906585,0.523598776,1.047197551,2.132991157,2.956269342,0.111979394
0.034906585,0.523598776,1.570796327,0.509176474,3.00582815,0.264549041
0.052359878,0.523598776,0,2.954585342,2.905900074,0.602392697
0.052359878,0.523598776,0.523598776,2.892470731,2.887930252,0.422771249
0.052359878,0.523598776,0.785398163,2.6861929,2.885143337,0.234654776
0.052359878,0.523598776,1.047197551,1.627332599,2.88866917,0.104816892
0.052359878,0.523598776,1.570796327,0.48305101,2.907581074,0.243015354
0.06981317,0.523598776,0,3.069822,0.598457796,0.861588079
0.06981317,0.523598776,0.523598776,3.081781193,1.168987115,0.63279154
0.06981317,0.523598776,0.785398163,3.036893744,2.101952356,0.386898628
0.06981317,0.523598776,1.047197551,2.677455862,2.579922707,0.146364105
0.06981317,0.523598776,1.570796327,0.594557585,2.770239299,0.17164488
0.087266463,0.523598776,0,3.04901744,0.571714877,0.867996784
0.087266463,0.523598776,0.523598776,3.05961432,0.918200234,0.66734116
0.087266463,0.523598776,0.785398163,3.043735025,1.578975142,0.445340616
0.087266463,0.523598776,1.047197551,2.888484334,2.229303769,0.220030449
0.087266463,0.523598776,1.570796327,1.106909157,2.562013567,0.088986414
0.104719755,0.523598776,0,3.029431854,0.565338538,0.859339601
0.104719755,0.523598776,0.523598776,3.033211101,0.764138203,0.683580934
0.104719755,0.523598776,0.785398163,3.023105677,1.102891055,0.482492938
0.104719755,0.523598776,1.047197551,2.955604083,1.610727659,0.273852887
0.104719755,0.523598776,1.570796327,2.087002476,2.109945418,0.067210418
0.122173048,0.523598776,0,3.010504839,0.564156105,0.847602182
0.122173048,0.523598776,0.523598776,3.0126369,0.706100955,0.700385495
0.122173048,0.523598776,0.785398163,3.0042172,0.923636782,0.528943268
0.122173048,0.523598776,1.047197551,2.968870191,1.254184787,0.349449628
0.122173048,0.523598776,1.570796327,2.757011641,1.687936574,0.150762328
0.13962634,0.523598776,0,2.990376775,0.559121397,0.841027258
0.13962634,0.523598776,0.523598776,2.991422139,0.66652976,0.713975377
0.13962634,0.523598776,0.785398163,2.982757723,0.818252494,0.56426281
0.13962634,0.523598776,1.047197551,2.957139471,1.036717759,0.406709134
0.13962634,0.523598776,1.570796327,2.853878919,1.341942098,0.228366995
0.157079633,0.523598776,0,2.971563974,0.556833171,0.839201355
0.157079633,0.523598776,0.523598776,2.971055355,0.641323098,0.727746898
0.157079633,0.523598776,0.785398163,2.960879714,0.753782942,0.594805936
0.157079633,0.523598776,1.047197551,2.937508116,0.905537271,0.454216383
0.157079633,0.523598776,1.570796327,2.865204748,1.111857081,0.292729862
0.174532925,0.523598776,0,2.952024302,0.55371963,0.835548293
0.174532925,0.523598776,0.523598776,2.950514444,0.62233449,0.735394148
0.174532925,0.523598776,0.785398163,2.938942743,0.709501021,0.615464445
0.174532925,0.523598776,1.047197551,2.915818545,0.821290072,0.488271798
0.174532925,0.523598776,1.570796327,2.854431554,0.96600186,0.340815792
0.191986218,0.523598776,0,2.933176794,0.551906426,0.832341949
0.191986218,0.523598776,0.523598776,2.931100245,0.610023213,0.742048382
0.191986218,0.523598776,0.785398163,2.918596915,0.681214058,0.633844424
0.191986218,0.523598776,1.047197551,2.895561139,0.768691163,0.518741052
0.191986218,0.523598776,1.570796327,2.839728342,0.876244262,0.38391934
0.20943951,0.523598776,0,2.91446863,0.549959095,0.830324369
0.20943951,0.523598776,0.523598776,2.911830037,0.599730646,0.747226756
0.20943951,0.523598776,0.785398163,2.898262696,0.658995008,0.648184844
0.20943951,0.523598776,1.047197551,2.874566261,0.729419667,0.542579119
0.20943951,0.523598776,1.570796327,2.819812276,0.811992139,0.417561834
0.226892803,0.523598776,0,2.895910787,0.548276177,0.827488053
0.226892803,0.523598776,0.523598776,2.892940618,0.591834405,0.749996105
0.226892803,0.523598776,0.785398163,2.878502274,0.642462021,0.658695114
0.226892803,0.523598776,1.047197551,2.853993816,0.700884421,0.561105893
0.226892803,0.523598776,1.570796327,2.798148125,0.766297025,0.444169325
0.244346095,0.523598776,0,2.877816213,0.547098143,0.824352507
0.244346095,0.523598776,0.523598776,2.87475516,0.586001151,0.751516457
0.244346095,0.523598776,0.785398163,2.859723996,0.630190836,0.667178639
0.244346095,0.523598776,1.047197551,2.834523749,0.680115742,0.576779656
0.244346095,0.523598776,1.570796327,2.77648949,0.7333592,0.466787389
0.261799388,0.523598776,0,2.860167311,0.546162157,0.821538879
0.261799388,0.523598776,0.523598776,2.857136736,0.581342866,0.752384979
0.261799388,0.523598776,0.785398163,2.841755737,0.620681451,0.67423104
0.261799388,0.523598776,1.047197551,2.815921569,0.664187593,0.590203311
0.261799388,0.523598776,1.570796327,2.754672075,0.708366053,0.48604032
0,0.785398163,0,3.129648576,3.141592654,0.896113919
0,0.785398163,0.523598776,3.054513026,3.141592654,0.631783851
0,0.785398163,0.785398163,2.87464366,3.141592654,0.37589409
0,0.785398163,1.047197551,2.159497223,3.141592654,0.172377566
0,0.785398163,1.570796327,0.830571135,3.141592654,0.25398315
0.017453293,0.785398163,0,3.127701431,1.445656109,0.896086456
0.017453293,0.785398163,0.523598776,3.074489577,2.843639073,0.627301785
0.017453293,0.785398163,0.785398163,2.914399873,2.989782345,0.362474678
0.017453293,0.785398163,1.047197551,2.150476258,3.039694032,0.145068193
0.017453293,0.785398163,1.570796327,0.682383614,3.064359587,0.253687897
0.034906585,0.785398163,0,3.110380175,1.079024246,0.8974071
0.034906585,0.785398163,0.523598776,3.083424458,2.398707606,0.627611475
0.034906585,0.785398163,0.785398163,2.944878785,2.777474387,0.354649725
0.034906585,0.785398163,1.047197551,2.132744789,2.903828652,0.123867374
0.034906585,0.785398163,1.570796327,0.554980568,2.963062141,0.263792426
0.052359878,0.785398163,0,3.095234216,1.087465336,0.901678728
0.052359878,0.785398163,0.523598776,3.076938531,2.02849918,0.638073158
0.052359878,0.785398163,0.785398163,2.96154032,2.535858234,0.36292696
0.052359878,0.785398163,1.047197551,2.215472146,2.74243067,0.119185072
0.052359878,0.785398163,1.570796327,0.499786279,2.841799261,0.261563088
0.06981317,0.785398163,0,3.075105681,1.290343063,0.771855372
0.06981317,0.785398163,0.523598776,3.051108543,1.849538542,0.56675855
0.06981317,0.785398163,0.785398163,2.943802593,2.298085503,0.335827552
0.06981317,0.785398163,1.047197551,2.323262775,2.55500562,0.122118744
0.06981317,0.785398163,1.570796327,0.54888202,2.706852763,0.2245553
0.087266463,0.785398163,0,3.047534142,0.865520677,0.859961236
0.087266463,0.785398163,0.523598776,3.044809749,1.330002414,0.654352245
0.087266463,0.785398163,0.785398163,2.985896282,1.893390327,0.4182796
0.087266463,0.785398163,1.047197551,2.670394711,2.305532884,0.182957805
0.087266463,0.785398163,1.570796327,0.734449964,2.53810018,0.162099276
0.104719755,0.785398163,0,3.027221327,0.841683747,0.865484447
0.104719755,0.785398163,0.523598776,3.025604582,1.180496676,0.686522801
0.104719755,0.785398163,0.785398163,2.984738543,1.624426075,0.472115886
0.104719755,0.785398163,1.047197551,2.805007108,2.043294933,0.25105737
0.104719755,0.785398163,1.570796327,1.28613069,2.333132676,0.106488984
0.122173048,0.785398163,0,3.006458391,0.828568211,0.863724358
0.122173048,0.785398163,0.523598776,3.004723082,1.076258051,0.711019473
0.122173048,0.785398163,0.785398163,2.973690083,1.403783775,0.519353435
0.122173048,0.785398163,1.047197551,2.862070387,1.766058011,0.3171286
0.122173048,0.785398163,1.570796327,2.09435525,2.080207174,0.113735851
0.13962634,0.785398163,0,2.985985331,0.825090512,0.8508402
0.13962634,0.785398163,0.523598776,2.983301872,0.991504753,0.717054507
0.13962634,0.785398163,0.785398163,2.957823652,1.206881372,0.544091442
0.13962634,0.785398163,1.047197551,2.883108937,1.471300178,0.358799805
0.13962634,0.785398163,1.570796327,2.48542714,1.75804456,0.149052663
0.157079633,0.785398163,0,2.968009993,0.829043832,0.843658226
0.157079633,0.785398163,0.523598776,2.964520574,0.961094914,0.730837626
0.157079633,0.785398163,0.785398163,2.940544615,1.127472994,0.578961544
0.157079633,0.785398163,1.047197551,2.881586455,1.329456968,0.414243389
0.157079633,0.785398163,1.570796327,2.653302882,1.56217794,0.21775797
0.174532925,0.785398163,0,2.947565713,0.824432617,0.838259306
0.174532925,0.785398163,0.523598776,2.944989672,0.932372006,0.738537327
0.174532925,0.785398163,0.785398163,2.923047034,1.064337964,0.602552429
0.174532925,0.785398163,1.047197551,2.874305325,1.222833463,0.454312216
0.174532925,0.785398163,1.570796327,2.716189288,1.406941379,0.273430192
0.191986218,0.785398163,0,2.928707915,0.823658915,0.834692777
0.191986218,0.785398163,0.523598776,2.926650399,0.915266168,0.748043443
0.191986218,0.785398163,0.785398163,2.905941096,1.024798245,0.627420378
0.191986218,0.785398163,1.047197551,2.863614186,1.153386707,0.49503327
0.191986218,0.785398163,1.570796327,2.742614586,1.301001917,0.329759842
0.20943951,0.785398163,0,2.909428858,0.820947263,0.833563835
0.20943951,0.785398163,0.523598776,2.907691299,0.897680775,0.754495232
0.20943951,0.785398163,0.785398163,2.887387634,0.988231132,0.644202397
0.20943951,0.785398163,1.047197551,2.84819228,1.0929292,0.522874523
0.20943951,0.785398163,1.570796327,2.743233398,1.211309752,0.369198745
0.226892803,0.785398163,0,2.890115383,0.81883658,0.830430458
0.226892803,0.785398163,0.523598776,2.889188302,0.885736259,0.757542917
0.226892803,0.785398163,0.785398163,2.869544571,0.963269438,0.656639502
0.226892803,0.785398163,1.047197551,2.832916093,1.051357603,0.545565348
0.226892803,0.785398163,1.570796327,2.737907227,1.147982731,0.402938359
0.244346095,0.785398163,0,2.871383258,0.817506765,0.827630556
0.244346095,0.785398163,0.523598776,2.871423413,0.877156154,0.760154024
0.244346095,0.785398163,0.785398163,2.852651746,0.945148024,0.668022061
0.244346095,0.785398163,1.047197551,2.818426529,1.021213211,0.566642412
0.244346095,0.785398163,1.570796327,2.730322862,1.101692948,0.434283165
0.261799388,0.785398163,0,2.853017214,0.816242356,0.825827764
0.261799388,0.785398163,0.523598776,2.853991768,0.869709945,0.762258114
0.261799388,0.785398163,0.785398163,2.836102416,0.930062603,0.677624259
0.261799388,0.785398163,1.047197551,2.803927903,0.996654675,0.584686752
0.261799388,0.785398163,1.570796327,2.71971443,1.06470998,0.461208046
0,1.047197551,0,3.129648576,3.141592654,0.896113919
0,1.047197551,0.523598776,3.054513026,3.141592654,0.631783851
0,1.047197551,0.785398163,2.87464366,3.141592654,0.37589409
0,1.047197551,1.047197551,2.159497223,3.141592654,0.172377566
