#Theta,Phi,Pol,Theta,Phi,Mag
-0.43633,-1.48353,0.00000,2.17106,2.10670,0.59240
-0.43633,-1.39626,0.00000,2.10528,2.11072,0.56249
-0.43633,-1.30900,0.00000,2.02165,2.09720,0.52463
-0.43633,-1.22173,0.00000,1.91985,2.08785,0.49159
-0.43633,-1.13446,0.00000,1.82491,2.10494,0.47751
-0.43633,-1.04720,0.00000,1.82456,1.60201,0.37636
-0.43633,-0.95993,0.00000,1.94289,1.33988,0.38222
-0.43633,-0.87266,0.00000,2.43327,1.71131,0.49192
-0.43633,-0.78540,0.00000,2.69484,1.98035,0.71758
-0.43633,-0.69813,0.00000,2.76111,2.08021,0.78574
-0.43633,-0.61087,0.00000,2.79038,2.16561,0.79010
-0.43633,-0.52360,0.00000,2.80943,2.26553,0.77722
-0.43633,-0.43633,0.00000,2.82296,2.38033,0.75659
-0.43633,-0.34907,0.00000,2.83208,2.50849,0.73069
-0.43633,-0.26180,0.00000,2.83734,2.64933,0.70168
-0.43633,-0.17453,0.00000,2.83928,2.80281,0.67270
-0.43633,-0.08727,0.00000,2.83880,2.96804,0.64868
-0.43633,0.00000,0.00000,2.83802,3.14159,0.63837
-0.43633,0.08727,0.00000,2.83879,-2.96805,0.64868
-0.43633,0.17453,0.00000,2.83927,-2.80281,0.67268
-0.43633,0.26180,0.00000,2.83733,-2.64933,0.70166
-0.43633,0.34907,0.00000,2.83208,-2.50846,0.73067
-0.43633,0.43633,0.00000,2.82296,-2.38030,0.75657
-0.43633,0.52360,0.00000,2.80945,-2.26544,0.77720
-0.43633,0.61087,0.00000,2.79040,-2.16546,0.79007
-0.43633,0.69813,0.00000,2.76113,-2.08003,0.78570
-0.43633,0.78540,0.00000,2.69481,-1.98017,0.71748
-0.43633,0.87266,0.00000,2.43301,-1.71119,0.49176
-0.43633,0.95993,0.00000,1.94254,-1.33983,0.38217
-0.43633,1.04720,0.00000,1.82446,-1.60220,0.37637
-0.43633,1.13446,0.00000,1.82491,-2.10504,0.47754
-0.43633,1.22173,0.00000,1.91974,-2.08812,0.49166
-0.43633,1.30900,0.00000,2.02177,-2.09757,0.52477
-0.43633,1.39626,0.00000,2.10546,-2.11081,0.56257
-0.43633,1.48353,0.00000,2.17107,-2.10668,0.59240
-0.43633,1.57080,0.00000,2.21522,-2.08880,0.60860
-0.43633,-1.48353,1.57080,1.45867,1.87321,0.44422
-0.43633,-1.39626,1.57080,1.42394,1.87611,0.44415
-0.43633,-1.30900,1.57080,1.44888,1.81963,0.43179
-0.43633,-1.22173,1.57080,1.61304,1.73607,0.41748
-0.43633,-1.13446,1.57080,1.90354,1.58692,0.43213
-0.43633,-1.04720,1.57080,2.09727,1.35174,0.44685
-0.43633,-0.95993,1.57080,1.91690,0.85377,0.49921
-0.43633,-0.87266,1.57080,1.66407,0.95162,0.40511
-0.43633,-0.78540,1.57080,1.64271,1.07371,0.34619
-0.43633,-0.69813,1.57080,1.75859,1.14423,0.30860
-0.43633,-0.61087,1.57080,1.94021,1.17273,0.28607
-0.43633,-0.52360,1.57080,2.17090,1.16787,0.28170
-0.43633,-0.43633,1.57080,2.40787,1.12655,0.29816
-0.43633,-0.34907,1.57080,2.60776,1.03945,0.33170
-0.43633,-0.26180,1.57080,2.75458,0.89165,0.37409
-0.43633,-0.17453,1.57080,2.85147,0.66529,0.41670
-0.43633,-0.08727,1.57080,2.90509,0.35670,0.45086
-0.43633,0.00000,1.57080,2.92170,0.00000,0.46487
-0.43633,0.08727,1.57080,2.90509,-0.35670,0.45086
-0.43633,0.17453,1.57080,2.85147,-0.66529,0.41669
-0.43633,0.26180,1.57080,2.75457,-0.89166,0.37407
-0.43633,0.34907,1.57080,2.60774,-1.03947,0.33168
-0.43633,0.43633,1.57080,2.40783,-1.12658,0.29814
-0.43633,0.52360,1.57080,2.17079,-1.16793,0.28167
-0.43633,0.61087,1.57080,1.94006,-1.17280,0.28604
-0.43633,0.69813,1.57080,1.75844,-1.14427,0.30858
-0.43633,0.78540,1.57080,1.64255,-1.07374,0.34618
-0.43633,0.87266,1.57080,1.66396,-0.95162,0.40511
-0.43633,0.95993,1.57080,1.91691,-0.85378,0.49920
-0.43633,1.04720,1.57080,2.09738,-1.35196,0.44685
-0.43633,1.13446,1.57080,1.90348,-1.58709,0.43211
-0.43633,1.22173,1.57080,1.61311,-1.73618,0.41749
-0.43633,1.30900,1.57080,1.44893,-1.81966,0.43179
-0.43633,1.39626,1.57080,1.42390,-1.87612,0.44417
-0.43633,1.48353,1.57080,1.45859,-1.87323,0.44423
-0.43633,1.57080,1.57080,1.49590,-1.83441,0.43823
-0.39270,-1.48353,0.00000,2.21025,2.13626,0.56340
-0.39270,-1.39626,0.00000,2.15175,2.14829,0.53948
-0.39270,-1.30900,0.00000,2.07904,2.15837,0.51052
-0.39270,-1.22173,0.00000,2.00493,2.17389,0.48451
