#Theta,Phi,Pol,Theta,Phi,Mag
0,0,0,3.119894792,3.141592654,0.930348994
0,0,1.570796327,0.188417833,3.141592654,0.374314692
0,0.261799388,0,3.119894792,3.141592654,0.930348994
0,0.261799388,1.570796327,0.188417833,3.141592654,0.374314692
0,0.523598776,0,3.119894792,3.141592654,0.930348994
0,0.523598776,1.570796327,0.188417833,3.141592654,0.374314692
0,0.785398163,0,3.119894792,3.141592654,0.930348994
0,0.785398163,1.570796327,0.188417833,3.141592654,0.374314692
0,1.047197551,0,3.119894792,3.141592654,0.930348994
0,1.047197551,1.570796327,0.188417833,3.141592654,0.374314692
0,1.308996939,0,3.119894792,3.141592654,0.930348994
0,1.308996939,1.570796327,0.188417833,3.141592654,0.374314692
0,1.570796327,0,3.119894792,3.141592654,0.930348994
0,1.570796327,1.570796327,0.188417833,3.141592654,0.374314692
0,1.832595715,0,3.119894792,3.141592654,0.930348994
0,1.832595715,1.570796327,0.188417833,3.141592654,0.374314692
0,2.094395102,0,3.119894792,3.141592654,0.930348994
0,2.094395102,1.570796327,0.188417833,3.141592654,0.374314692
0,2.35619449,0,3.119894792,3.141592654,0.930348994
0,2.35619449,1.570796327,0.188417833,3.141592654,0.374314692
0,2.617993878,0,3.119894792,3.141592654,0.930348994
0,2.617993878,1.570796327,0.188417833,3.141592654,0.374314692
0,2.879793266,0,3.119894792,3.141592654,0.930348994
0,2.879793266,1.570796327,0.188417833,3.141592654,0.374314692
0,3.141592654,0,3.119894792,3.141592654,0.930348994
0,3.141592654,1.570796327,0.188417833,3.141592654,0.374314692
0,3.403392041,0,3.119894792,3.141592654,0.930348994
0,3.403392041,1.570796327,0.188417833,3.141592654,0.374314692
0,3.665191429,0,3.119894792,3.141592654,0.930348994
0,3.665191429,1.570796327,0.188417833,3.141592654,0.374314692
0,3.926990817,0,3.119894792,3.141592654,0.930348994
0,3.926990817,1.570796327,0.188417833,3.141592654,0.374314692
0,4.188790205,0,3.119894792,3.141592654,0.930348994
0,4.188790205,1.570796327,0.188417833,3.141592654,0.374314692
0,4.450589593,0,3.119894792,3.141592654,0.930348994
0,4.450589593,1.570796327,0.188417833,3.141592654,0.374314692
0,4.71238898,0,3.119894792,3.141592654,0.930348994
0,4.71238898,1.570796327,0.188417833,3.141592654,0.374314692
0,4.974188368,0,3.119894792,3.141592654,0.930348994
0,4.974188368,1.570796327,0.188417833,3.141592654,0.374314692
0,5.235987756,0,3.119894792,3.141592654,0.930348994
0,5.235987756,1.570796327,0.188417833,3.141592654,0.374314692
0,5.497787144,0,3.119894792,3.141592654,0.930348994
0,5.497787144,1.570796327,0.188417833,3.141592654,0.374314692
0,5.759586532,0,3.119894792,3.141592654,0.930348994
0,5.759586532,1.570796327,0.188417833,3.141592654,0.374314692
0,6.021385919,0,3.119894792,3.141592654,0.930348994
0,6.021385919,1.570796327,0.188417833,3.141592654,0.374314692
0.001745329,0,0,3.121370293,3.141592654,0.930370228
0.001745329,0,1.570796327,0.169956715,3.141592654,0.377965696
0.001745329,0.261799388,0,3.121315037,3.117623545,0.930371269
0.001745329,0.261799388,1.570796327,0.170586648,3.134545622,0.377823984
0.001745329,0.523598776,0,3.121153145,3.095642919,0.930374336
0.001745329,0.523598776,1.570796327,0.172430444,3.128108482,0.37742699
0.001745329,0.785398163,0,3.120898897,3.077387872,0.930379202
0.001745329,0.785398163,1.570796327,0.175364628,3.122807685,0.376819282
0.001745329,1.047197551,0,3.120573136,3.064152424,0.930375522
0.001745329,1.047197551,1.570796327,0.179199115,3.119027056,0.376051808
0.001745329,1.308996939,0,3.120202952,3.056696081,0.930362821
0.001745329,1.308996939,1.570796327,0.183671127,3.116973508,0.375200946
0.001745329,1.570796327,0,3.119814782,3.055259039,0.930350613
0.001745329,1.570796327,1.570796327,0.188475627,3.116690861,0.374349358
0.001745329,1.832595715,0,3.119436104,3.059637603,0.930328346
0.001745329,1.832595715,1.570796327,0.19328689,3.118080614,0.373546111
0.001745329,2.094395102,0,3.119090658,3.069256566,0.930295513
0.001745329,2.094395102,1.570796327,0.197775887,3.120947079,0.372848299
