#Theta, Phi, Pol, Theta, Phi, Mag
0.00000, 0.00000, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 0.00000, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 0.00000, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 0.00000, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 0.00000, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 0.26180, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 0.26180, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 0.26180, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 0.26180, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 0.26180, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 0.52360, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 0.52360, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 0.52360, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 0.52360, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 0.52360, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 0.78540, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 0.78540, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 0.78540, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 0.78540, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 0.78540, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 1.04720, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 1.04720, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 1.04720, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 1.04720, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 1.04720, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 1.30900, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 1.30900, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 1.30900, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 1.30900, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 1.30900, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 1.57080, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 1.57080, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 1.57080, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 1.57080, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 1.57080, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 1.83260, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 1.83260, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 1.83260, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 1.83260, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 1.83260, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 2.09440, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 2.09440, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 2.09440, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 2.09440, 1.48353, 0.16202, 3.14159, 0.28296
