#Theta, Phi, Pol, Theta, Phi, Mag
0, 0, 0, 3.088824929, 3.141592654, 0.385376403
0, 0, 0.785398163, 3.140720822, 0, 0.430840164
0, 0, 1.570796327, 3.097386188, 0, 0.477506498
0.017453293, 0, 0, 3.081751818, 3.141592654, 0.560152633
0.017453293, 0, 0.785398163, 3.122850841, 0, 0.509009394
0.017453293, 0, 1.570796327, 3.027366047, 0, 0.461789374
0.034906585, 0, 0, 3.128760855, 3.141592654, 0.782764442
0.034906585, 0, 0.785398163, 3.079733003, 0, 0.60352436
0.034906585, 0, 1.570796327, 2.943221103, 0, 0.430013072
0.052359878, 0, 0, 3.120950942, 0, 0.885018538
0.052359878, 0, 0.785398163, 3.033057004, 0, 0.628317152
0.052359878, 0, 1.570796327, 2.827634709, 0, 0.381866109
0.06981317, 0, 0, 3.09702384, 0, 0.919242831
0.06981317, 0, 0.785398163, 2.98193268, 0, 0.60875248
0.06981317, 0, 1.570796327, 2.645057852, 0, 0.320436343
0.087266463, 0, 0, 3.076381435, 0, 0.929686046
0.087266463, 0, 0.785398163, 2.920132895, 0, 0.56898586
0.087266463, 0, 1.570796327, 2.33057574, 0, 0.261135371
0.104719755, 0, 0, 3.065480395, 0, 0.879827223
0.104719755, 0, 0.785398163, 2.854485831, 0, 0.511726408
0.104719755, 0, 1.570796327, 1.998776789, 0, 0.244678594
0.122173048, 0, 0, 3.047789928, 0, 0.873429816
0.122173048, 0, 0.785398163, 2.78644644, 0, 0.416245529
0.122173048, 0, 1.570796327, 1.153964678, 0, 0.22615416
0.13962634, 0, 0, 3.031982652, 0, 0.860594569
0.13962634, 0, 0.785398163, 2.670204008, 0, 0.325836172
0.13962634, 0, 1.570796327, 0.626830513, 0, 0.341095396
0.157079633, 0, 0, 3.014806466, 0, 0.855063258
0.157079633, 0, 0.785398163, 2.580832469, 0, 0.282552635
0.157079633, 0, 1.570796327, 0.473720528, 0, 0.415124719
0.174532925, 0, 0, 2.998025996, 0, 0.847883024
0.174532925, 0, 0.785398163, 2.524977708, 0, 0.261950672
0.174532925, 0, 1.570796327, 0.407673559, 0, 0.446535514
0.191986218, 0, 0, 2.980841315, 0, 0.842309643
0.191986218, 0, 0.785398163, 2.545972511, 0, 0.275621883
0.191986218, 0, 1.570796327, 0.424327354, 0, 0.409100742
0.20943951, 0, 0, 2.963301676, 0, 0.836886134
0.20943951, 0, 0.785398163, 2.605409762, 0, 0.310888565
0.20943951, 0, 1.570796327, 0.513097998, 0, 0.330590863
0.226892803, 0, 0, 2.946078011, 0, 0.831002408
0.226892803, 0, 0.785398163, 2.654900928, 0, 0.355758956
0.226892803, 0, 1.570796327, 0.716551413, 0, 0.24977615
0.244346095, 0, 0, 2.928904932, 0, 0.825296319
0.244346095, 0, 0.785398163, 2.686196344, 0, 0.401620425
0.244346095, 0, 1.570796327, 1.077953581, 0, 0.195302695
0.261799388, 0, 0, 2.911741568, 0, 0.819461566
0.261799388, 0, 0.785398163, 2.701822189, 0, 0.442814016
0.261799388, 0, 1.570796327, 1.51546857, 0, 0.184522354
0, 0.261799388, 0, 3.088824929, 3.141592654, 0.385376403
0, 0.261799388, 0.785398163, 3.140720822, 0, 0.430840164
